INPUT_FILE,DIMENSIONS,SEED,PARAM_SET,SAMPLING_TIME,FITNESS,SOLUTION,ELAPSED_TIME
../../data/real_world_example.csv,4,8,1,9.846666667,4.546269,"-437380.62224686646 4813335.9936696105 8.527838692988608 1.6184476932540794",108.57
../../data/real_world_example.csv,4,9,1,9.846666667,2.253148,"-421608.89897942025 4830171.062072218 9.79693117451854 3.466375726277033",109.70
../../data/real_world_example.csv,4,10,1,9.846666667,0.710952,"-414907.15094190376 4833653.687214453 6.954200912139845 0.71365853003035",108.95
../../data/real_world_example.csv,6,1,1,9.846666667,1.545884,"-425602.5456968288 4820829.433163552 9.884045638536428 5.958064126963759 0.0002659682577520227 -5.453283554921243e-05",128.66
../../data/real_world_example.csv,6,2,1,9.846666667,1.527668,"-442061.2787852481 4774783.184567407 6.858818738047394 8.271607571572071 0.0005787816985050146 -0.0002131729786412894",136.26
../../data/real_world_example.csv,6,3,1,9.846666667,0.358543,"-441804.73010395135 4773401.605128622 7.025662459544356 6.5227418236765535 0.0004093389418193325 -8.280756249125166e-05",136.67
../../data/real_world_example.csv,6,4,1,9.846666667,2.267249,"-374328.96239469864 4940317.466681911 8.098361031984687 1.969236169468394 0.0006781507908523561 -0.00023169950064302718",130.19
../../data/real_world_example.csv,6,5,1,9.846666667,0.420473,"-429691.9197531277 4811698.006669847 8.613258434516295 8.297383344037048 0.0009120835854558172 -3.2993079156785226e-05",130.59
../../data/real_world_example.csv,6,6,1,9.846666667,2.041936,"-389961.9725659806 4888170.305873437 8.848156080611373 6.7001397393514335 0.000497355004912269 -0.0005685986859847776",133.24
../../data/real_world_example.csv,6,7,1,9.846666667,0.620172,"-443297.3618809289 4777887.458759606 8.62083706011707 9.513379349947398 0.0006130815410448205 -0.00022182671828534695",132.48
../../data/real_world_example.csv,6,8,1,9.846666667,1.750194,"-403026.1590322312 4867029.616038952 7.544175507623741 4.179820858873411 0.0007550988244951284 -0.00014923452727444463",136.45
../../data/real_world_example.csv,6,9,1,9.846666667,1.340114,"-393011.84568747075 4893014.761243792 9.791521345579536 3.2237673050983995 6.392138810883752e-05 -0.00042184114770702234",135.91
../../data/real_world_example.csv,6,10,1,9.846666667,0.963325,"-393434.5193883081 4887438.763643744 9.79619927466205 2.9964622361784454 0.0004129076981224314 -7.324116566949682e-05",133.26
../../data/real_world_example.csv,8,1,1,9.846666667,3.353039,"-384029.02912798524 4920994.815856125 1.6725522536685085 7.566797398715639 0.00025041738699922304 -0.000561668447788517 3.93648504742697e-06 3.0043226068165883e-06",157.60
../../data/real_world_example.csv,8,2,1,9.846666667,2.610426,"-348651.85601831233 4998587.267654872 2.7501180443728206 4.6390976219223194 0.0005012207467879286 -0.0007564586090701428 4.344035718622351e-06 3.3272606860094108e-06",156.73
../../data/real_world_example.csv,8,3,1,9.846666667,6.203788,"-328196.39767622866 4959898.762881676 7.628252694679212 7.047723073890294 0.0001261150882559867 -0.0008908231502658757 8.407186664254375e-07 5.477965874797388e-07",162.48
../../data/real_world_example.csv,8,4,1,9.846666667,5.484605,"-414171.9274981712 4871844.637412258 8.891041824155666 7.4104939208644005 0.00022196112270275183 -0.0008054701405014313 3.025983690446474e-06 2.6353913664139107e-06",158.17
../../data/real_world_example.csv,8,5,1,9.846666667,2.805028,"-367852.39582406904 4962276.494000175 6.323916220159617 0.7596634477364405 9.156288938126823e-05 -0.0008068845261295342 2.6835645122259825e-06 2.223684429649407e-06",157.09
../../data/real_world_example.csv,8,6,1,9.846666667,3.344716,"-353329.18257479824 4983702.914887734 4.507758229687507 7.8604984930114865 0.00011204418083476104 -0.0005972019786770334 5.301625031358068e-06 4.360934500459204e-06",156.74
../../data/real_world_example.csv,8,7,1,9.846666667,2.043600,"-355011.79907192045 4988929.7490962595 5.570531813600659 8.445198721028367 0.0006237480605325017 -8.067225065215024e-05 4.265650423285395e-06 3.2139718220328993e-06",163.36
../../data/real_world_example.csv,8,8,1,9.846666667,6.339651,"-379263.5818736651 4980259.66062432 6.623367599589133 2.156909140608205 0.00017100631468406255 -0.0001788563172555295 1.94053184165436e-06 1.4825523945505222e-06",160.20
../../data/real_world_example.csv,8,9,1,9.846666667,6.964071,"-378673.0375814857 4962602.779891711 6.249395849984497 8.956417474499814 0.0006724237634458669 -0.0009695480823592159 6.838876442753963e-06 5.393521336933617e-06",156.66
../../data/real_world_example.csv,8,10,1,9.846666667,7.972776,"-372400.71504754765 4934428.579869023 6.431406606135597 0.8370308403636608 0.0005759541067312917 -6.237439846174756e-06 2.9904877702001648e-06 2.870668126000405e-06",160.98
